"year","rep","SP_highflood","SU_highflood","medflood","drought","nonevent"
1964,1,0,1,0,0,0
1965,2,0,0,1,0,0
1966,3,1,0,0,0,0
1967,4,0,0,0,0,1
1968,5,0,0,1,0,0
1969,6,0,0,1,0,0
1970,7,0,0,0,0,1
1971,8,0,1,0,0,0
1972,9,0,0,0,0,1
1973,10,0,0,1,0,0
1974,11,0,0,0,0,1
1975,12,0,0,0,0,1
1976,13,1,0,0,0,0
1977,14,0,1,0,0,0
1978,15,1,1,0,0,0
1979,16,1,0,0,0,0
1980,17,1,0,0,0,0
1981,18,0,0,0,0,1
1982,19,0,0,1,0,0
1983,20,1,1,0,0,0
1984,21,0,1,0,0,0
1985,22,0,0,0,0,1
1986,23,0,0,0,0,1
1987,24,0,0,0,0,1
1988,25,0,0,1,0,0
1989,26,0,0,0,0,1
1990,27,0,0,0,0,1
1991,28,1,0,0,0,0
1992,29,1,1,0,0,0
1993,30,1,0,0,0,0
1994,31,0,0,0,0,1
1995,32,1,0,0,0,0
1996,33,0,0,0,0,1
1997,34,0,0,0,0,1
1998,35,0,0,0,0,1
1999,36,0,1,0,0,0
2000,37,0,0,0,1,0
2001,38,0,0,0,0,1
2002,39,0,1,0,0,0
2003,40,0,1,0,0,0
2004,41,0,1,0,0,0
2005,42,1,0,0,0,0
2006,43,0,0,0,0,1
2007,44,0,0,0,1,0
2008,45,1,0,0,0,0
2009,46,0,0,0,0,1
2010,47,1,1,0,0,0
2011,48,0,0,0,1,0
2012,49,0,0,0,0,1
2013,50,0,1,0,0,0
2014,51,0,0,0,1,0
2015,52,0,0,1,0,0
2016,53,0,0,0,1,0
2017,54,1,0,0,0,0
